Expected, Response 
0,7 0 
0,0 
0,9 
0,9 
0,9 
0,9 
0,9 
0,0 
0,9 
0,9 
0,9 
0,9 
0,9 
0,9 
0,9 
0,9 
0,9 
0,9 
0,9 
0,9 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
3,0 3 
3,3 
3,3 
3,3 
3,2 
3,3 
3,1 
3,3 1 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 7 
3,3 7 
3,3 
3,3 
3,3 
3,3 
3,3 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,0 7 
7,7 
7,7 
7,7 
7,0 7 
7,7 
7,7 
7,7 
7,7 
7,7 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 4 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,0 9 
9,4 9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 

